---Baron Tests---

Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 4 4 4 1, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 4 4 4, coins-5->5, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 4 1 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 1 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 1 4 1, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 1 4 4 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 4 1 1, coins-3->3, result-0
Didn't get 4 coins: currentPlayer-0, choice1-1, hand-1 4 4 4 4, coins-4->4, result-0
Didn't get 4 coins: currentPlayer-0, choice1-1, hand-1 4 4 4 4, coins-4->4, result-0
Didn't get 4 coins: currentPlayer-0, choice1-1, hand-1 4 4 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 4 1 4 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 4 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 4 4 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 1 4 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 4 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 4 1 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 1 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 4 4 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 1 4 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 1 1 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 4 1 1, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 1 4 1, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 4 1 4 4, coins-3->3, result-0
Didn't get 4 coins: currentPlayer-0, choice1-1, hand-1 4 4 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 1 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 1 4 1, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 4 4 4 1, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 1 4 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 4 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 4 1 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 4 1 4 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 1 1 4, coins-3->3, result-0
Didn't get 4 coins: currentPlayer-0, choice1-1, hand-1 4 4 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 4 1 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 4 4 4, coins-5->5, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 4 4 4 1, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 1 1 4, coins-3->3, result-0
Didn't get 4 coins: currentPlayer-0, choice1-1, hand-1 4 4 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 1 4 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 4 4 1, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 1 1 1, coins-2->2, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 4 1 4 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 1 1 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 4 4 4, coins-5->5, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 4 1 1, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 1 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 4 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 4 4 1, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 4 4 4, coins-5->5, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 4 1 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 4 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 1 4 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 1 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 1 4 1 4, coins-2->2, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 4 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 1 4 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 4 4 1 1, coins-2->2, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 4 4 1, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 4 1 4 1, coins-2->2, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 4 1 4 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 4 1 1 4, coins-2->2, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 4 4 4 1, coins-3->3, result-0
Didn't get 4 coins: currentPlayer-0, choice1-1, hand-1 4 4 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 1 1 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 1 1 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 4 1 4 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 4 4 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 4 1 1, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 4 1 4 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 4 4 4, coins-5->5, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 4 4 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 1 4 1, coins-2->2, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 1 4 1, coins-2->2, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 4 4 1, coins-4->4, result-0
Didn't get 4 coins: currentPlayer-0, choice1-1, hand-1 4 4 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 4 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 4 4 1, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 4 4 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 4 4 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 4 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 1 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 4 4 1, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 1 1 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 4 1 4 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 4 4 4, coins-5->5, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 4 4 1, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 4 1 4 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 4 4 4, coins-5->5, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 4 1 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 4 1 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 4 1 1, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 4 4 1, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 1 4 4 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 4 4 1, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 4 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 4 1 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 4 4 1, coins-4->4, result-0
Didn't get 4 coins: currentPlayer-0, choice1-1, hand-1 4 4 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 4 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 1 4 1 4, coins-2->2, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 4 4 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 4 1 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 1 1 4, coins-2->2, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 1 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 4 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 4 1 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 4 1 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 1 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 1 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 4 1 4 1, coins-2->2, result-0
Didn't get 4 coins: currentPlayer-0, choice1-1, hand-1 4 4 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 4 1 4, coins-4->4, result-0
Didn't get 4 coins: currentPlayer-0, choice1-1, hand-1 4 4 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 4 4 1 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 1 4 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 1 1 1, coins-2->2, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 4 4 1 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 4 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 4 4 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 1 4 1, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 1 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 1 4 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 4 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 4 4 4 1, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 4 1 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 1 1 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 4 1 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 4 1 4 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 4 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 4 4 1, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 4 4 1, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 4 4 4, coins-5->5, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 4 4 1, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 4 4 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 4 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 1 4 1, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 1 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 4 4 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 4 1 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 4 4 4, coins-5->5, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 4 1 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 1 4 1, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 1 4 1, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 4 1 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 4 1 4 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 1 1 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 4 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 4 1 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 1 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 4 4 1 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 4 1 1, coins-2->2, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 4 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 1 1 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 4 4 1, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 1 4 4 1, coins-2->2, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 1 1 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 4 1 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 1 1 4, coins-2->2, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 4 1 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 1 4 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 4 1 4 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 4 1 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 4 1 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 4 4 1, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 1 4 1, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 4 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 1 4 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 4 1 4 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 1 1 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 1 4 1, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 4 1 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 4 1 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 4 4 1 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 4 4 4, coins-5->5, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 4 1 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 4 4 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 4 4 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 4 4 4, coins-5->5, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 4 4 4, coins-5->5, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 4 1 4 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 4 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 4 4 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 4 4 1, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 4 1 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 1 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 4 4 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 4 4 4, coins-5->5, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 4 4 4 4, coins-4->4, result-0
Didn't get 4 coins: currentPlayer-0, choice1-1, hand-1 4 4 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 4 1 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 4 4 4 1, coins-3->3, result-0
Didn't get 4 coins: currentPlayer-0, choice1-1, hand-1 4 4 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 1 1 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 4 4 1 4, coins-3->3, result-0
Didn't get 4 coins: currentPlayer-0, choice1-1, hand-1 4 4 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 1 1 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 4 4 4 1, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 1 1 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 4 1 1, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 1 4 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 1 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 4 4 1 1, coins-2->2, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 4 1 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 4 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 1 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 1 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 1 1 4, coins-3->3, result-0
Didn't get 4 coins: currentPlayer-0, choice1-1, hand-1 4 4 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 4 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 1 1 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 4 4 1, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 4 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 1 1 4 4, coins-3->3, result-0
Didn't get 4 coins: currentPlayer-0, choice1-1, hand-1 4 4 4 4, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 4 4 4 1, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 4 4 1, coins-4->4, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 1 4 1, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-1 1 4 4 4, coins-3->3, result-0
Didn't pick up estate: currentPlayer-0, choice1-0, hand-4 4 4 1 1, coins-3->3, result-0
